,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
183,All Wet,All Wet,189854,"[16, 35]",1927-10-31,76.266,6.1,31,en,False
184,The Most Wonderful Time of the Year,The Most Wonderful Time of the Year,1358947,"[16, 35]",2024-10-11,76.215,4.5,2,en,False
185,Tomorrowland,Tomorrowland,158852,"[12, 10751, 9648, 878]",2015-05-19,76.049,6.275,6911,en,False
186,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,72331,"[28, 14, 27]",2012-06-20,75.554,5.736,3291,en,False
187,Haunted Mansion,Haunted Mansion,616747,"[35, 18, 27, 14]",2023-07-26,75.529,6.476,1016,en,False
188,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,181533,"[12, 35, 14, 10751]",2014-12-17,75.487,6.2,5794,en,False
189,The Grand Budapest Hotel,The Grand Budapest Hotel,120467,"[35, 18]",2014-02-26,75.485,8.049,14668,en,False
190,Secret of the Wings,Secret of the Wings,75258,"[16, 10751, 14, 12]",2012-08-17,75.052,7.2,1211,en,False
191,While You Were Sleeping,While You Were Sleeping,2064,"[10749, 35]",1995-04-21,74.745,7.001,1750,en,False
192,The New Mutants,The New Mutants,340102,"[878, 27, 28, 12]",2020-04-02,74.7,6.1,3377,en,False
193,Fight Club,Fight Club,550,[18],1999-10-15,74.669,8.4,29208,en,False
194,Taken 2,Taken 2,82675,"[28, 80, 53]",2012-09-27,74.373,6.4,6553,en,False
195,The King's Man,The King's Man,476669,"[28, 35, 12, 53]",2021-12-22,74.038,6.754,4442,en,False
196,Black Widow,Black Widow,497698,"[28, 12, 878]",2021-01-01,73.903,7.238,10085,en,False
197,The Creator,The Creator,670292,"[28, 12, 878]",2023-09-27,73.481,7.106,2923,en,False
198,Lightyear,Lightyear,718789,"[16, 878, 10751, 12]",2022-06-15,72.745,6.969,3402,en,False
199,In Time,In Time,49530,"[28, 53, 878]",2011-10-27,72.558,6.971,11274,en,False
200,"I Love You, Beth Cooper","I Love You, Beth Cooper",19840,"[35, 10749]",2009-07-10,72.117,5.956,854,en,False
201,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,32657,"[12, 14, 10751]",2010-02-01,71.618,6.2,7381,en,False
202,The Pacifier,The Pacifier,10022,"[35, 10751, 28]",2005-03-04,71.585,6.1,3013,en,False
203,Maleficent,Maleficent,102651,"[14, 12, 28, 10751, 10749]",2014-05-28,71.412,7.095,13007,en,False
204,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,408,"[14, 16, 10751]",1937-12-21,71.401,7.1,7330,en,False
205,Brother Bear 2,Brother Bear 2,10010,"[12, 16, 10751]",2006-08-17,71.236,6.653,1462,en,False
206,Doctor Strange,Doctor Strange,284052,"[28, 12, 14]",2016-10-25,71.158,7.424,21969,en,False
207,National Treasure,National Treasure,2059,"[12, 28, 53, 9648]",2004-11-19,70.928,6.635,6245,en,False
208,10 Things I Hate About You,10 Things I Hate About You,4951,"[35, 10749, 18]",1999-03-30,70.585,7.6,8005,en,False
209,Tarzan,Tarzan,37135,"[10751, 12, 16, 18]",1999-06-18,70.504,7.404,6682,en,False
210,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,8619,"[12, 18, 10752]",2003-11-14,70.348,7.2,3111,en,False
211,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,250480,"[16, 10751, 12]",1977-03-11,70.207,7.262,1019,en,False
212,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,8355,"[16, 35, 10751, 12]",2009-06-26,69.77,6.8,8214,en,False
213,Into the Woods,Into the Woods,224141,"[14, 35]",2014-12-24,69.478,5.8,4206,en,False
214,Gifted,Gifted,400928,"[18, 35]",2017-04-07,69.394,8.036,5410,en,False
215,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,3512,"[28, 53]",1995-07-13,68.796,5.8,898,en,False
216,Twitches,Twitches,21481,"[35, 18, 10751, 14, 10770]",2005-10-14,68.795,6.7,498,en,False
217,Wreck-It Ralph,Wreck-It Ralph,82690,"[10751, 16, 35, 12]",2012-11-01,68.785,7.339,12200,en,False
218,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,426543,"[14, 12, 10751]",2018-10-26,68.674,6.088,2109,en,False
