,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
387,O Lado Bom de Ser Traída,Burning Betrayal,1173558,"[18, 9648, 10749]",2023-10-25,43.955,6.217,161,pt,False
388,The Possession of Hannah Grace,The Possession of Hannah Grace,434555,"[27, 18]",2018-11-29,30.587,5.6,1319,en,False
389,The Punisher,The Punisher,7220,"[28, 80, 18]",2004-04-15,36.14,6.3,2787,en,False
390,Star Trek Into Darkness,Star Trek Into Darkness,54138,"[28, 12, 878]",2013-05-05,37.89,7.3,9013,en,False
391,The Kissing Booth 3,The Kissing Booth 3,727745,"[10749, 35]",2021-08-11,60.149,6.902,1879,en,False
392,The Mule,The Mule,504172,"[80, 18]",2018-12-14,48.124,6.848,4896,en,False
393,Blood Red Sky,Blood Red Sky,760883,"[27, 53, 28]",2021-07-23,70.512,6.9,1516,de,False
394,The Devil's Advocate,The Devil's Advocate,1813,"[18, 9648, 53, 27]",1997-10-17,48.026,7.464,5912,en,False
395,Dracula Untold,Dracula Untold,49017,"[27, 28, 14]",2014-10-01,38.163,6.417,6008,en,False
396,もののけ姫,Princess Mononoke,128,"[12, 14, 16]",1997-07-12,48.981,8.3,7928,ja,False
397,Hustle,Hustle,705861,"[18, 35]",2022-06-03,51.241,7.759,2485,en,False
398,El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie,559969,"[80, 18, 53]",2019-10-11,69.657,7.0,4838,en,False
399,Call Me by Your Name,Call Me by Your Name,398818,"[10749, 18]",2017-07-28,47.442,8.132,11998,en,False
400,Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,555604,"[16, 14, 18]",2022-11-09,69.317,8.093,2870,en,False
401,सेक्टर 36,Sector 36,1245700,"[80, 53, 18]",2024-08-18,40.722,7.012,42,hi,False
402,屋根裏のラジャー,The Imaginary,913001,"[16, 12, 18, 10751, 14]",2023-12-15,33.5,8.1,43,ja,False
403,They Cloned Tyrone,They Cloned Tyrone,736769,"[35, 878, 9648]",2023-06-14,68.723,6.589,559,en,False
404,American History X,American History X,73,[18],1998-07-01,63.613,8.344,11468,en,False
405,A-X-L,A-X-L,438590,"[878, 28, 12, 10751]",2018-08-23,55.61,6.3,1163,en,False
