,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
546,Spy/Master,Spy/Master,219600,"[18, 10759]",2023-05-19,7.537,6.9,27,ro,False
547,House of Saddam,House of Saddam,7597,"[10768, 18]",2008-07-30,7.516,6.7,46,en,False
548,Mean Girl Murders,Mean Girl Murders,221121,"[80, 99]",2023-03-13,7.511,8.0,1,en,False
549,Building Off the Grid,Building Off the Grid,82204,"[10764, 99]",2014-01-26,7.392,5.7,3,en,False
550,Savior Complex,Savior Complex,233600,"[99, 80]",2023-09-26,7.377,6.3,9,en,False
551,Tsunami: The Aftermath,Tsunami: The Aftermath,13238,[18],2006-12-10,7.369,6.2,34,en,False
552,Deceit,Deceit,130738,"[18, 80]",2021-08-13,7.35,6.5,31,en,False
553,Zwei Seiten des Abgrunds,Two Sides of the Abyss,225217,"[18, 80]",2023-05-08,7.33,5.5,19,de,False
554,Pobre Diablo,Poor Devil,195237,[16],2023-02-17,7.315,7.1,16,es,False
555,America: Facts vs. Fiction,America: Facts vs. Fiction,66775,[99],2013-07-10,7.279,5.2,2,en,False
556,The Perfect Murder,The Perfect Murder,63424,"[80, 99]",2014-04-20,7.206,8.7,9,en,False
557,Maricón perdido,Queer You Are,124429,"[18, 35]",2021-06-18,7.16,6.8,75,es,False
558,UFO Witness,UFO Witness,116504,[99],2021-01-10,7.151,8.3,6,en,False
559,Expedition from Hell: The Lost Tapes,Expedition from Hell: The Lost Tapes,252287,"[99, 10759]",2024-05-12,7.145,0.0,0,en,False
560,Born Evil: The Serial Killer and the Savior,Born Evil: The Serial Killer and the Savior,261449,"[99, 80]",2024-09-02,7.102,8.7,3,en,False
561,Hoffman Family Gold,Hoffman Family Gold,195916,"[10764, 18]",2022-03-25,7.097,7.5,8,en,False
562,Finding Escobar's Millions,Finding Escobar's Millions,74848,[99],2017-11-03,7.095,7.2,6,en,False
563,Wild Frank,Wild Frank,79798,[99],2014-05-11,7.085,6.7,6,es,False
564,Road Rage,Road Rage,240064,[10764],2023-11-21,7.029,8.0,2,en,False
565,Barbie Dreamhouse Challenge,Barbie Dreamhouse Challenge,230494,[10764],2023-07-16,7.008,7.3,18,en,False
566,Control de Fronteras: España,Border Control: Spain,83959,"[10764, 80, 99]",2016-09-13,6.973,4.0,3,es,False
