,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
1596,Replacing Chef Chico,Replacing Chef Chico,221913,[18],2023-11-24,14.179,7.1,9,tl,False
1597,"Money, Explained","Money, Explained",124337,[99],2021-05-11,12.363,7.4,75,en,False
1598,あいのり,Ainori Love Wagon: Asian Journey,80513,[10764],2017-10-26,8.217,7.3,12,ja,False
1599,Immigration Nation,Immigration Nation,106359,[99],2020-08-03,8.1,6.9,83,en,False
1600,Life After Death with Tyler Henry,Life After Death with Tyler Henry,157514,[10764],2022-03-11,7.638,6.0,9,en,False
1601,How to Ruin Love,How to Ruin Love,253833,[35],2024-05-31,12.303,7.5,2,st,False
1602,Hip Hop Evolution,Hip Hop Evolution,67706,[99],2016-09-05,13.176,7.5,44,en,False
1603,やれたかも委員会,The Could've-Gone-All-the-Way Committee,81331,"[35, 18]",2018-04-23,11.813,5.9,7,ja,False
1604,Bake Squad,Bake Squad,129674,"[10751, 10764]",2021-08-11,6.372,7.2,11,en,False
1605,ล่าล้างเมือง,Bad Guys,209407,[18],2022-09-02,11.206,6.3,3,th,False
1606,Mermaid Magic,Mermaid Magic,231725,"[16, 10762, 10759, 35, 10751, 10765]",2024-08-22,11.233,6.9,9,en,False
1607,Queen Cleopatra,Queen Cleopatra,224387,"[99, 18]",2023-05-10,11.624,2.722,163,en,False
1608,Betaal,Betaal,103759,"[10759, 18]",2020-05-24,8.346,6.508,178,hi,False
1609,تكي,Takki,107485,[18],2012-09-20,10.031,7.0,6,ar,False
1610,Charlie's Colorforms City,Charlie's Colorforms City,87822,"[16, 10762]",2019-03-22,9.225,7.2,4,en,False
1611,Khakee: The Bihar Chapter,Khakee: The Bihar Chapter,213635,"[80, 18]",2022-11-25,11.511,7.817,30,hi,False
1612,Chichipatos,The Unremarkable Juanquini,103505,[35],2020-05-15,10.841,7.0,221,es,False
1613,Dirty Pop: The Boy Band Scam,Dirty Pop: The Boy Band Scam,257209,"[99, 80]",2024-07-24,10.947,7.1,21,en,False
1614,Escalona,Escalona,98470,[18],1991-01-15,12.074,7.62,187,es,False
1615,逃げるは恥だが役に立つ ムズキュン!特別編,We Married as a Job: New Year's Special,234423,[18],2020-05-19,12.361,9.0,1,ja,False
1616,Far from Home,Far from Home,215874,[18],2022-12-16,12.592,8.2,134,en,False
1617,Delete,Delete,218994,"[9648, 18]",2023-06-26,8.921,7.0,19,th,False
1618,Oats Studios,Oats Studios,158325,[10765],2021-10-01,11.267,6.6,48,en,False
1619,The Day I Met El Chapo: The Kate del Castillo Story,The Day I Met El Chapo: The Kate del Castillo Story,74579,[99],2017-10-20,8.764,5.867,15,en,False
1620,El Secreto de la Familia Greco,The Secret of the Greco Family,213803,[18],2022-11-04,8.43,7.7,20,es,False
1621,How to Change Your Mind,How to Change Your Mind,204304,[99],2022-07-12,9.965,7.9,38,en,False
1622,Las de la última fila,The Girls at the Back,207704,"[18, 35]",2022-09-23,8.146,7.7,44,es,False
1623,Drôle,Standing Up,157726,"[35, 18]",2022-03-18,8.791,6.6,24,fr,False
1624,Street Food: Latin America,Street Food: Latin America,105488,[99],2020-07-21,8.621,7.2,77,en,False
1625,The Witcher: A Look Inside the Episodes,The Witcher: A Look Inside the Episodes,108987,[99],2020-08-26,10.06,6.0,25,en,False
1626,We the People,We the People,126817,"[16, 10762]",2021-07-04,7.243,6.7,6,en,False
1627,The Last Czars,The Last Czars,90665,"[18, 10768, 99]",2019-07-03,9.554,7.3,125,en,False
1628,Big Tree City,Big Tree City,158694,"[10759, 35, 10762, 16]",2022-08-01,12.457,7.9,13,en,False
1629,Si no t'hagués conegut,If I Hadn't Met You,87611,"[18, 10765, 9648]",2018-10-15,9.27,6.3,24,ca,False
1630,Catching Killers,Catching Killers,137003,"[99, 80]",2021-11-04,10.97,6.5,38,en,False
1631,#blackAF,#blackAF,101200,[35],2020-04-17,12.006,6.8,32,en,False
1632,Alien Worlds,Alien Worlds,113178,[99],2020-12-02,11.798,6.8,231,en,False
1633,Lalaloopsy,Lalaloopsy,69538,"[10762, 16]",2013-03-29,9.249,7.429,7,en,False
1634,Folk med ångest,Anxious People,139155,"[35, 18, 9648]",2021-12-29,11.249,6.1,65,sv,False
1635,마이 런웨이,My Runway,69850,"[35, 18]",2016-12-30,11.576,7.4,93,ko,False
1636,High Score,High Score,106754,[99],2020-08-19,7.292,7.518,224,en,False
1637,Oktoberfest 1900,Oktoberfest: Beer and Blood,94002,[18],2020-09-15,10.639,6.9,45,de,False
