,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
43,Road House,Road House,359410,"[28, 53]",2024-03-08,148.376,6.988,2211,en,False
44,Insurgent,Insurgent,262500,"[28, 12, 878, 53]",2015-03-18,74.684,6.36,9911,en,False
45,Uncharted,Uncharted,335787,"[28, 12]",2022-02-10,74.164,6.941,5876,en,False
46,부산행,Train to Busan,396535,"[27, 53, 28, 12]",2016-07-20,119.436,7.8,7346,ko,False
47,Expend4bles,Expend4bles,299054,"[28, 12, 53]",2023-09-15,122.504,6.2,1490,en,False
48,The Mummy Returns,The Mummy Returns,1734,"[12, 28, 14]",2001-05-04,77.604,6.374,6957,en,False
49,기생충,Parasite,496243,"[35, 53, 18]",2019-05-30,108.566,8.506,18112,ko,False
50,The Conjuring,The Conjuring,138843,"[27, 53]",2013-07-18,149.539,7.542,11424,en,False
51,It Chapter Two,It Chapter Two,474350,"[27, 18, 14]",2019-09-04,123.5,6.846,8637,en,False
52,Gladiator,Gladiator,98,"[28, 18, 12]",2000-05-04,154.213,8.217,18329,en,False
53,Hit Man,Hit Man,974635,"[35, 10749, 80]",2024-05-16,124.372,6.885,897,en,False
54,Titane,Titane,630240,"[18, 53, 27]",2021-07-14,125.169,6.4,1411,fr,False
55,The Mask,The Mask,854,"[10749, 35, 80, 14]",1994-07-29,101.04,6.959,10155,en,False
56,Scream 4,Scream 4,41446,"[27, 9648]",2011-04-13,73.25,6.458,3652,en,False
57,The Cabin in the Woods,The Cabin in the Woods,22970,"[27, 9648]",2012-04-12,161.438,6.623,7767,en,False
58,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,717728,"[27, 53, 9648]",2022-09-15,100.783,5.433,969,en,False
59,The Secret Life of Pets 2,The Secret Life of Pets 2,412117,"[12, 16, 35, 10751]",2019-05-24,67.645,7.0,3001,en,False
60,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,585083,"[16, 35, 10751, 12, 14]",2022-01-31,107.782,7.077,2715,en,False
61,Shrek 2,Shrek 2,809,"[16, 10751, 35, 14, 12, 10749]",2004-05-19,128.228,7.3,12186,en,False
62,Challengers,Challengers,937287,"[10749, 18]",2024-04-18,94.311,7.106,1456,en,False
