,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
212,ヴィンランド・サガ,Vinland Saga,88803,"[16, 10768]",2019-07-08,42.31,8.501,686,ja,False
213,"Escándalo, relato de una obsesión",Scandal: Story of an Obsession,203505,[18],2023-01-11,42.225,4.2,6,es,False
214,Game Shakers,Game Shakers,64264,[35],2015-09-12,42.008,7.412,114,en,False
215,아일랜드,Island,211747,"[10765, 10759, 18]",2022-12-30,41.977,8.0,169,ko,False
216,Café con Aroma de Mujer,Café con Aroma de Mujer,16961,"[18, 10751, 10764]",1994-12-30,41.598,7.5,383,es,False
217,Com si fos ahir,Com si fos ahir,260609,"[18, 10766]",2017-09-11,40.995,0.0,0,ca,False
218,Lalola,Lalola,5430,"[18, 10765, 35]",2007-08-28,40.986,7.654,26,es,False
219,서진이네,Jinny's Kitchen,214250,[10764],2023-02-24,40.743,8.0,12,ko,False
220,백일의 낭군님,100 Days My Prince,81821,"[35, 18, 9648]",2018-09-10,40.517,8.0,153,ko,False
221,Just Add Magic,Just Add Magic,62904,"[10751, 10762, 10765, 35, 9648]",2016-01-15,40.512,7.7,73,en,False
222,Aquí no hay quien viva,Aquí no hay quien viva,2282,[35],2003-09-07,40.465,8.4,157,es,False
223,Peter Rabbit,Peter Rabbit,63893,"[16, 10762, 10751]",2013-03-20,40.285,5.267,15,en,False
224,보라! 데보라,True to Love,210586,"[18, 35]",2023-04-12,40.155,7.4,30,ko,False
225,Gran Hotel,Grand Hotel,47990,"[18, 9648, 80]",2011-05-10,40.117,7.6,84,es,False
226,恋は雨上がりのように,After the Rain,75777,"[16, 35, 18]",2018-01-12,39.975,7.1,62,ja,False
227,Acorralada,Acorralada,13091,"[18, 10766, 80]",2007-01-15,39.85,7.0,83,es,False
228,아는 와이프,Familiar Wife,80741,"[18, 10765]",2018-08-01,39.826,8.063,127,ko,False
229,Las Estrellas,Las Estrellas,73812,"[35, 10751, 18]",2017-05-29,39.531,4.6,5,es,False
230,Águila Roja,Red Eagle,25065,"[10759, 18, 9648]",2009-02-19,39.506,7.7,187,es,False
231,Clarkson's Farm,Clarkson's Farm,117648,"[10764, 35]",2021-06-11,39.055,8.47,253,en,False
232,Shimmer and Shine,Shimmer and Shine,67098,"[16, 10751, 10762]",2015-05-11,38.948,4.5,11,en,False
233,Ourika,The Source,197460,"[10759, 18]",2024-03-28,38.699,6.7,16,fr,False
234,De viaje con los Derbez,Traveling with the Derbez,94667,[99],2019-10-18,37.038,7.5,1326,es,False
235,NOS4A2,NOS4A2,85273,"[10765, 18]",2019-06-02,36.564,7.3,378,en,False
236,Natalia del Mar,Natalia del Mar,201040,"[18, 10766]",2011-06-28,36.418,6.0,2,es,False
237,국민사형투표,The Killing Vote,217088,"[18, 9648, 80]",2023-08-10,36.174,7.5,33,ko,False
238,The Tick,The Tick,67487,"[35, 10765, 10759]",2016-08-19,36.166,6.976,270,en,False
239,가슴이 뛴다,HeartBeat,218099,"[18, 35, 9648, 10765]",2023-06-26,35.298,6.7,26,ko,False
240,Tales of the Walking Dead,Tales of the Walking Dead,136248,"[18, 10759, 10765]",2022-08-14,34.865,7.221,154,en,False
241,Them,Them,120462,"[18, 9648]",2021-04-09,34.75,7.602,387,en,False
242,The Boys Presents: Diabolical,The Boys Presents: Diabolical,152483,"[16, 10759]",2022-03-03,34.673,7.129,325,en,False
